danmaku,title,author,time,av,description,share,view,favorite,link,reply,coin
6,AMV，Fate/stay night UBW,hhnihaodou110,2017-08-13 15:10,13310367,bgm:Brave Shine,1,330,4,https://www.bilibili.com/video/av13310367,5,5
7,【2017·7月】新番混剪丨Magic In My Bones,M·Tsuki,2017-08-13 15:08,13310662,"视频含概24部2017年7月新番：
带着智慧型手机闯荡异世界，Fate/Apocrypha，18if，捏造陷阱-NTR-，裙子里面是野兽，活击 刀剑乱舞，地狱少女 四，电玩咖，梵蒂冈的奇迹调查官，洁癖男子！青山君，狂赌之渊，第一次的辣妹，天使的3P!，来自深渊，骑士与魔法，欢迎来到实力至上主义的教室，异世界食堂，DIVE!!跳水男孩，徒然喜欢你，舞动青春，NEW GAME!!，妖怪公寓的幽雅日常，笨女孩，野良和皇女和野猫之心。
BGM：Thomas Gold-Magic",6,2356,23,https://www.bilibili.com/video/av13310662,16,24
1,【正式回归】【纯音乐】狮子——狮子座艾欧里亚生贺mad,133Elcid,2017-08-13 15:06,13310213,bgm；獅子の玉座 獅子の円卓 ~殲滅すべき神記の剣~,1,48,2,https://www.bilibili.com/video/av13310213,3,8
2,【路人女主】龍與虎的愛情故事/英梨梨x詩羽應援,呦悠桃,2017-08-13 15:02,13309683,"影片素材：路人女主動畫
bgm：沢井美空 冴えない彼女の育てかたED 『カラフル。』
百合萬歲！百合不滅！百合癌末期要大喊詩梨才是正義！

慢慢地 我的視線就再也離不開妳的身影
但是 不行 自尊作祟著要我不可以先行認輸 必須忍著
用冷淡的態度隱藏對妳在意到不得了的焦躁
用毒舌刻薄掩飾加快的心跳 燒紅的臉頰
也不知道妳是怎麼想我的 要是 不是的話...

那麼詩羽說的那七個字到底是什麼呢
這部分還請自行想像(填空)(笑
範例提供【 今晚的月色真美 】【 誰會喜歡貧乳啊 】【 成為魔法少女吧 】",2,203,8,https://www.bilibili.com/video/av13309683,9,7
46,【综漫/AMV/治愈向】比任何人 比世间万物 都要重要的你,洛啵哩,2017-08-13 15:00,13309775,"新人自制 有不好的地方请谅解（•̀ω•́ ）
BGM:   KG—誰よりも duet with 菅原纱由理",3,130,8,https://www.bilibili.com/video/av13309775,4,0
8,【海贼王】超燃【AMV】我不会再逃避了！,军丶无戏言,2017-08-13 14:48,13309620,"https://m.youtube.com/watch?v=OUNlqMD4oAQ
喜欢的点个订阅，以后会不定期更新，新人求硬币求支持(づ￣ 3￣)づ",2,799,10,https://www.bilibili.com/video/av13309620,3,2
0,【约会大作战/剪辑】来一起约会吧！,絶滅の天使,2017-08-13 14:47,13309321,"为了BGM骗你们看简介↓
BGM：sweet ARMS - デート・ア・ライブ
喜欢的话求关注求硬币求收藏~~
有意见的话可以评论弹幕私信哦~~",0,63,2,https://www.bilibili.com/video/av13309321,1,2
3,【AMV/综漫/浪漫】青春的颜色-Colorful,Ame_CwHW,2017-08-13 14:45,13309729,"原稿为ITIC 2（不公开稿件的三日烧比赛）的Romance&amp;amp;drama分类第7名，SOLO第24名，总排名31。此稿为修改过的新人战版本。
BGM:[Alexandros] - ワタリドリ (MV)
素材：京吹，冰菓，Glasslip，甘城光辉游乐园，四月是你的谎言。",2,150,15,https://www.bilibili.com/video/av13309729,64,41
5,AMV，Fate/zero,hhnihaodou110,2017-08-13 14:41,13309638,BGM:oath sign,2,646,3,https://www.bilibili.com/video/av13309638,10,4
1307,【op还原】如果小林找到小埋和纱雾的话,魔音小琴,2017-08-13 14:34,13309341,"视频素材：干物妹小埋 小林家的龙女仆 埃罗芒阿老师
BGM：青空のラプソディ
简介：视频原本打算做成小埋版，可是螺旋升天素材太难找，只好做成乱入版了。op的效果我只能说已经尽力去模仿了，扭动那里确实是手残，打不好关键帧。毕竟经验不足啊啊啊啊啊啊啊~",862,56900,4295,https://www.bilibili.com/video/av13309341,463,9096
2,夜刀神十香AMV,浊莲のGalahad,2017-08-13 14:30,13302718,之前发过一期，不知道是不是第一次做的太差的原因直接被退了，讲真，很失望，再差那也是我第一次且费尽心思做出来的，希望这次别再退了，第一个bgm是Skrillex的First Of The Year 用电音来做AMV的可能就我这种奇葩了==第二首是电影《超能陆战队》的主题曲，希望大家喜欢，不喜欢太激和电音的基本可以不用打开了。,2,42,0,https://www.bilibili.com/video/av13302718,6,4
0,【樱花庄】尽管我们手中一无所有,艾伊兹·华伦斯泰因,2017-08-13 14:28,13308996,"做的不好，有什么意见可以在评论区发_(:з」∠)_
可以的话多发些弹幕呀QWQ
BGM：僕らの手には何もないけど",3,28,0,https://www.bilibili.com/video/av13308996,0,3
1,【高燃/节奏向】刀剑神域的世界,樱花棱木,2017-08-13 14:16,13308707,"BGM：Dj Sonar - Kinetic (The Crystal Method x Dada Life)
发现一首节奏很强的BGM,就试着做了一期刀剑，不过能力有限，没有全部完成。
喜欢就投币，关注，收藏一波吧",1,137,4,https://www.bilibili.com/video/av13308707,3,7
1,CLANNAD催泪向mad,98亿天价手办,2017-08-13 14:07,13308438,"bgm  Luvletter情书
素材   CLANNAD
由于bgm的的关系有很多场景没加进去，嘛，个人还是最喜欢朋也和老爹
有不好的地方还望看官老爷们指出",4,52,0,https://www.bilibili.com/video/av13308438,4,0
0,美好的幻想最终被打破 变强吧【AMV/多素材/王的诞生】,冰激淋去冰,2017-08-13 14:02,13308369,"幻想中的美好往往被残酷的现实所打破
只有变强才能守护住你想要的一切
BGM:star sky
谢谢观赏",2,52,0,https://www.bilibili.com/video/av13308369,1,2
0,【火影MAD/AMV】四战战争核爆，aLIEz.,吾乃奥利奇异果oqi,2017-08-13 14:01,13308097,"自制，BGM：aLIEz——mizuki【TV动画ALDNOAH ZERO的ED2】。
本来想剪拔剑神曲的，还是觉得这歌更好【毕竟也有好几个拔剑的火影视频了】，相对来说对忍众和BOSS组的感情都可以表达【一时半会说不清不说了】，所以来了一发，还是一样往常的水平……加油吧。
再次感谢观众姥爷们！
谢谢你们！啵！",1,38,2,https://www.bilibili.com/video/av13308097,1,0
12,【综漫】小小小萝莉的逆袭,草沙屋,2017-08-13 14:01,13308052,"BGM：gotta go home 

素材：
脑内恋爱妨碍选项
天体的秩序
刀剑神域
魔法少女大战
夏目友人账
幻想万华镜
妹妹天国",2,108,3,https://www.bilibili.com/video/av13308052,7,6
0,【少年同盟】一秒0.5帧的青春,欲我无念,2017-08-13 14:00,13302209,"BGM：かっちゃん - 朝焼け、君の呗
素材：少年同盟1/2
网易云电台：http://music.163.com/#/playlist?id=122097663
初投稿有点粗长，把两季的每集的小片段都合在了一起
顺便安利这部动漫",4,3203,4,https://www.bilibili.com/video/av13302209,3,4
0,【末日时在做什么？有没有空？可以来拯救一下吗？】愿天堂能有你的影子【MAD】,珂朵莉か,2017-08-13 13:59,13308121,"新人作品，很多地方没来得及弄，还请见谅
BGM：dried out-森冬",0,21,3,https://www.bilibili.com/video/av13308121,0,0
2,轻音少女一生推【AMV】,とがめukito,2017-08-13 13:57,13308063,BGM: 黑木明纱-Wired life,4,37,5,https://www.bilibili.com/video/av13308063,2,6
